state,county,year,snow_days
IN,MARION,2022,22
AK,MATANUSKA-SUSITNA BOROUGH,2018,185
AK,SKAGWAY-HOONAH-ANGOON,2018,46
CA,NEVADA,2018,68
NH,COOS,2018,192
ND,GRAND FORKS,2018,168
MT,CASCADE,2018,99
MT,FLATHEAD,2018,100
AK,YUKON-KOYUKUK,2018,207
AK,BETHEL,2018,98
AK,FAIRBANKS NORTH STAR BOROUGH,2018,189
AK,ANCHORAGE BOROUGH,2018,163
AK,SOUTHEAST FAIRBANKS,2018,181
AK,ALEUTIANS WEST,2018,22
AK,ALEUTIANS EAST BOROUGH,2018,47
AK,BRISTOL BAY BOROUGH,2018,131
NC,CUMBERLAND,2018,4
TX,WICHITA,2018,3
NJ,ATLANTIC,2018,12
DE,NEW CASTLE,2018,15
OH,FRANKLIN,2018,37
IL,ST. CLAIR,2018,2
KS,SHAWNEE,2018,15
KS,CLOUD,2018,30
CO,ALAMOSA,2018,17
CO,MESA,2018,8
NJ,ESSEX,2018,30
NY,QUEENS,2018,31
CT,FAIRFIELD,2018,28
CT,HARTFORD,2018,53
PA,LEBANON,2018,19
PA,LEHIGH,2018,24
NY,ONONDAGA,2018,121
PA,ALLEGHENY,2018,47
OH,SUMMIT,2018,57
OH,CUYAHOGA,2018,64
OH,TRUMBULL,2018,85
PA,ERIE,2018,69
NY,ERIE,2018,94
NY,MONROE,2018,99
IL,PEORIA,2018,43
OH,LUCAS,2018,35
MI,MACOMB,2018,35
MI,CLINTON,2018,52
IL,WINNEBAGO,2018,54
IA,POLK,2018,44
IA,FLOYD,2018,40
IA,DUBUQUE,2018,55
IA,CERRO GORDO,2018,107
NE,DOUGLAS,2018,69
NE,LANCASTER,2018,55
NE,HALL,2018,59
NE,SARPY,2018,56
NE,MADISON,2018,78
NE,LINCOLN,2018,77
NE,CHERRY,2018,84
WY,NATRONA,2018,66
UT,SALT LAKE,2018,42
WY,FREMONT,2018,100
ID,POWER,2018,33
NH,MERRIMACK,2018,128
ME,CUMBERLAND,2018,98
ME,PENOBSCOT,2018,108
VT,CHITTENDEN,2018,125
MI,KENT,2018,74
MI,MUSKEGON,2018,82
MI,GENESEE,2018,79
MI,SAGINAW,2018,56
MI,ROSCOMMON,2018,103
MI,ALPENA,2018,103
WI,MILWAUKEE,2018,59
WI,TAYLOR,2018,80
WI,LA CROSSE,2018,84
WI,CHIPPEWA,2018,132
MN,OLMSTED,2018,121
WI,BROWN,2018,76
WI,WINNEBAGO,2018,59
WI,MARATHON,2018,131
SD,MINNEHAHA,2018,88
SD,ROBERTS,2018,48
SD,BEADLE,2018,61
SD,DAVISON,2018,109
SD,CODINGTON,2018,113
MN,SHERBURNE,2018,131
MN,CROW WING,2018,26
SD,HUGHES,2018,60
WI,WOOD,2018,94
SD,BROWN,2018,64
SD,PENNINGTON,2018,73
SD,WALWORTH,2018,49
MT,FERGUS,2018,109
MT,GALLATIN,2018,93
OR,MULTNOMAH,2018,2
ME,AROOSTOOK,2018,168
MI,CHIPPEWA,2018,169
MN,ST. LOUIS,2018,168
MN,KOOCHICHING,2018,168
ND,CASS,2018,139
ND,BURLEIGH,2018,105
MT,VALLEY,2018,105
MT,GLACIER,2018,104
MT,MISSOULA,2018,87
MT,HILL,2018,110
WA,SPOKANE,2018,60
WA,PIERCE,2018,2
NY,JEFFERSON,2018,115
NH,HILLSBOROUGH,2018,63
MA,NORFOLK,2018,25
CO,EL PASO,2018,35
AK,YUKON-KOYUKUK,2007,207
MT,GRANITE,2007,20
NJ,BURLINGTON,2007,10
AK,NOME,2007,193
AK,MATANUSKA-SUSITNA BOROUGH,2007,201
AK,VALDEZ-CORDOVA,2007,221
IA,BLACK HAWK,2007,88
NY,SULLIVAN,2007,40
NH,COOS,2007,195
MI,MUSKEGON,2007,100
UT,SAN JUAN,2007,29
AK,ALEUTIANS WEST,2007,151
OR,UMATILLA,2007,42
IA,WOODBURY,2007,80
IA,POLK,2007,88
AK,BETHEL,2007,147
WI,MILWAUKEE,2007,93
IL,WINNEBAGO,2007,87
AK,SOUTHEAST FAIRBANKS,2007,196
PA,MONTGOMERY,2007,1
ND,GRAND FORKS,2007,121
PA,LEBANON,2007,24
ME,PENOBSCOT,2007,103
AK,JUNEAU BOROUGH,2007,94
MI,GRAND TRAVERSE,2007,100
NE,HALL,2007,52
IL,PEORIA,2007,37
IL,SANGAMON,2007,31
AK,ANCHORAGE BOROUGH,2007,141
IA,DUBUQUE,2007,92
CO,EL PASO,2007,57
PA,ERIE,2007,75
OH,SUMMIT,2007,74
MI,OAKLAND,2007,83
SD,CODINGTON,2007,86
MT,CASCADE,2007,52
AK,ALEUTIANS EAST BOROUGH,2007,78
MN,KOOCHICHING,2007,122
IN,MIAMI,2007,62
MI,ALPENA,2007,125
NE,SCOTTS BLUFF,2007,42
MI,CLINTON,2007,87
MI,ROSCOMMON,2007,113
AK,NORTHWEST ARCTIC BOROUGH,2007,223
MT,LEWIS AND CLARK,2007,25
ME,AROOSTOOK,2007,154
MA,HAMPDEN,2007,56
IA,CERRO GORDO,2007,97
IN,ALLEN,2007,67
WA,SPOKANE,2007,69
MT,YELLOWSTONE,2007,62
NY,QUEENS,2007,29
AK,BRISTOL BAY BOROUGH,2007,77
AK,PRINCE OF WALES-OUTER KETCHIKA,2007,22
WI,DANE,2007,93
WI,LA CROSSE,2007,88
OR,HARNEY,2007,30
CO,MESA,2007,36
AK,YAKUTAT BOROUGH,2007,148
MI,KALAMAZOO,2007,85
ME,CUMBERLAND,2007,108
NY,MONROE,2007,101
MA,BARNSTABLE,2007,14
MN,OLMSTED,2007,94
