state,county,year,freezing_days
VA,SMYTH,2022,5
NJ,SUSSEX,2022,11
WV,BERKELEY,2022,10
WV,BROOKE,2022,17
IL,ST. CLAIR,2022,15
IN,DUBOIS,2022,9
UT,CACHE,2022,34
NV,WHITE PINE,2022,9
RI,NEWPORT,2022,12
CT,WINDHAM,2022,16
NY,TOMPKINS,2022,29
NY,ALLEGANY,2022,37
NY,YATES,2022,28
PA,VENANGO,2022,31
NY,MONROE,2022,30
IL,COOK,2022,29
OH,HANCOCK,2022,27
MI,JACKSON,2022,43
MI,HURON,2022,38
IA,FLOYD,2022,62
NE,HALL,2022,21
NE,SARPY,2022,32
NE,CUSTER,2022,29
UT,UINTAH,2022,34
ME,CUMBERLAND,2022,21
VT,CALEDONIA,2022,54
ME,OXFORD,2022,32
MI,MANISTEE,2022,42
MI,GRAND TRAVERSE,2022,44
SD,BEADLE,2022,48
WY,WASHAKIE,2022,51
MI,EMMET,2022,65
MN,BECKER,2022,107
MN,PENNINGTON,2022,107
MT,GARFIELD,2022,47
KS,PRATT,2022,11
MD,WORCESTER,2022,3
CA,MARIPOSA,2022,7
CO,BOULDER,2022,83
IN,LAWRENCE,2022,18
SD,MCPHERSON,2022,81
OH,WAYNE,2022,37
ND,BILLINGS,2022,72
AL,DALLAS,2022,1
TX,WASHINGTON,2022,1
UT,MILLARD,2022,8
TN,OBION,2022,8
AK,HAINES BOROUGH,2020,54
MN,STEARNS,2020,67
OH,RICHLAND,2020,7
IL,ST. CLAIR,2020,4
CO,EL PASO,2020,9
PA,NORTHUMBERLAND,2020,5
PA,ERIE,2020,5
IN,DELAWARE,2020,4
IA,MARSHALL,2020,40
IA,STORY,2020,35
NE,YORK,2020,15
NE,BROWN,2020,20
WY,LARAMIE,2020,19
CO,ROUTT,2020,30
ME,KENNEBEC,2020,13
VT,LAMOILLE,2020,25
VT,CALEDONIA,2020,37
VT,WASHINGTON,2020,28
WI,DOUGLAS,2020,60
IA,CLAY,2020,39
MN,SHERBURNE,2020,55
MN,REDWOOD,2020,60
MN,DOUGLAS,2020,79
WY,WASHAKIE,2020,18
MT,GALLATIN,2020,18
MN,WADENA,2020,81
MT,MISSOULA,2020,11
MT,FLATHEAD,2020,18
SD,LYMAN,2020,34
CA,MARIPOSA,2020,10
MT,SILVER BOW,2022,48
CO,RIO BLANCO,2022,34
PA,MONTGOMERY,2022,13
IL,RICHLAND,2022,10
AK,KENAI PENINSULA BOROUGH,2022,24
VT,ORLEANS,2022,53
UT,BOX ELDER,2022,15
MD,FREDERICK,2022,10
MN,WRIGHT,2022,78
MO,HOWELL,2022,9
OK,OKLAHOMA,2022,7
CO,OTERO,2022,12
CO,GUNNISON,2022,53
NJ,ESSEX,2022,6
MA,DUKES,2022,9
PA,CENTRE,2022,32
IA,POWESHIEK,2022,43
IL,LAWRENCE,2022,12
MI,WASHTENAW,2022,39
IA,POLK,2022,37
IA,WAPELLO,2022,41
NE,DAWES,2022,32
ID,POWER,2022,43
ID,BONNEVILLE,2022,68
NH,BELKNAP,2022,27
MI,SAGINAW,2022,45
WI,ROCK,2022,45
WI,CHIPPEWA,2022,70
WI,GRANT,2022,50
SD,CUSTER,2022,43
SD,CODINGTON,2022,73
MN,RICE,2022,66
MN,OTTER TAIL,2022,97
WI,WOOD,2022,77
MN,ANOKA,2022,68
MT,FALLON,2022,64
ID,ELMORE,2022,24
ID,LEMHI,2022,47
MN,HUBBARD,2022,100
ND,ADAMS,2022,54
MT,FLATHEAD,2022,53
WA,WHATCOM,2022,8
IA,SCOTT,2022,43
IL,WAYNE,2022,15
AK,WRANGELL-PETERSBURG,2022,17
NM,LOS ALAMOS,2022,9
CO,EL PASO,2022,10
IL,MONTGOMERY,2022,26
NM,UNION,2022,4
OH,FAIRFIELD,2022,15
MO,ST. CHARLES,2022,14
MO,LIVINGSTON,2022,19
NY,CHEMUNG,2022,30
IL,CHAMPAIGN,2022,30
IL,PEORIA,2022,26
MI,GRATIOT,2022,47
IA,CASS,2022,36
NE,LANCASTER,2022,22
NE,MADISON,2022,30
ME,KNOX,2022,22
MI,MARQUETTE,2022,99
MN,REDWOOD,2022,67
SD,WALWORTH,2022,57
MT,FERGUS,2022,44
MT,BEAVERHEAD,2022,55
MT,LEWIS AND CLARK,2022,47
WA,WALLA WALLA,2022,26
IL,PIKE,2022,28
MO,BARTON,2022,14
AK,ALEUTIANS EAST BOROUGH,2022,13
AK,DILLINGHAM,2020,86
MO,JOHNSON,2020,8
ND,STARK,2020,32
AK,PRINCE OF WALES-OUTER KETCHIKA,2020,6
MI,CHIPPEWA,2020,33
IA,HANCOCK,2020,41
WI,LINCOLN,2020,72
NE,BOONE,2020,21
NM,SAN MIGUEL,2020,5
TN,ANDERSON,2020,2
IL,SANGAMON,2020,13
UT,CARBON,2020,16
UT,IRON,2020,5
UT,GRAND,2020,22
NY,SULLIVAN,2020,11
NY,ONEIDA,2020,13
MI,WAYNE,2020,4
MI,KEWEENAW,2020,38
MI,JACKSON,2020,12
MI,MECOSTA,2020,29
IA,JOHNSON,2020,24
IA,FLOYD,2020,49
IA,CLINTON,2020,21
IA,DECATUR,2020,23
NE,BURT,2020,27
UT,UINTAH,2020,52
ID,VALLEY,2020,38
WI,RACINE,2020,17
WI,MANITOWOC,2020,22
WI,JEFFERSON,2020,35
WI,PRICE,2020,81
SD,MINNEHAHA,2020,33
SD,TRIPP,2020,20
SD,BRULE,2020,31
MN,CROW WING,2020,67
MI,EMMET,2020,34
MI,GOGEBIC,2020,60
MN,BECKER,2020,79
MN,COOK,2020,61
MT,GARFIELD,2020,24
MT,HILL,2020,34
SD,MCPHERSON,2020,71
IA,JASPER,2020,31
WY,LINCOLN,2022,68
MN,WASECA,2022,62
OK,DELAWARE,2022,9
KY,DAVIESS,2022,10
IN,TIPPECANOE,2022,26
MO,ADAIR,2022,34
KS,JOHNSON,2022,13
CO,PITKIN,2022,29
PA,NORTHUMBERLAND,2022,17
MI,MACOMB,2022,37
NE,BUFFALO,2022,26
OR,KLAMATH,2022,8
VT,LAMOILLE,2022,47
MI,KENT,2022,38
WI,MANITOWOC,2022,50
ID,ADA,2022,15
OH,GREENE,2022,16
VA,FAIRFAX,2021,1
AK,HAINES BOROUGH,2021,64
IL,LAWRENCE,2021,16
OK,CHEROKEE,2021,7
NE,THOMAS,2021,22
TN,SHELBY,2021,8
OK,LOGAN,2021,6
OK,OKLAHOMA,2021,10
WI,RUSK,2021,61
IN,SHELBY,2021,14
CO,ARAPAHOE,2021,4
MA,BERKSHIRE,2021,28
